Arquivo,Tipo,Data,Score_Mistral,Status,Clean_Text
COPOM220-not20190206220.pdf,Ata COPOM,2019-02-06,0.5,SUCESSO,"mbros do Comitê reafirmaram sua preferência por explicitar condicionalidades sobre a evolução da política monetária, o que melhor transmite a racionalidade econômica que guia suas decisões. Isso contribui para aumentar a transparência e melhorar a comunicação do Copom. Nesse context o, voltaram a ressaltar que os próximos passos na condução da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 24. Todos os membros do Comitê voltaram a enfatizar que a aprovação e implementação das reformas, Banco Central do Brasil 220ª Reunião do Copom 5 notadamente as de natureza fiscal , e de ajustes na economia brasileira são fundamentais para a sustentabilidade d o ambiente com inflação baixa e estável, para o funcionamento pleno da política monetária e para a redução da taxa de juros estrutural da economia, com amplos benefícios para a sociedade. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. D) Decisão de política monetária 25. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela manutenção da taxa básica de juros em 6,50% a.a. O Comitê entende que essa decisão reflete seu cenário básic o e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano -calendário de 2019 e, com peso menor e gradualmente crescente, de 2020. 26. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 27. O Comitê enfatiza que a continuidade do processo de reformas e ajustes necessários na economia brasileira é essencial para a manutenção da inflação baixa no médio e longo prazos, para a queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. 28. Na avaliação do Copom, a evolução do cenário básico e do balanço de riscos prescreve manutenção da taxa Selic no nível vigente. O Copom ressalta que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 29. O Copom avalia que cautela, serenidade e perseverança nas decisões de política monetária, inclusive diante de cenários voláteis, têm sido úteis na perseguição de seu objetivo precípuo de manter a trajetória da inflação em direção às metas. 30. Votaram por essa decisão os seguintes membros do Comitê: Il an Goldfajn (Presidente), Carlos Viana de Carvalho, Carolina de Assis Barros , Maurício Costa de Moura, Otávio Ribeiro Damaso, Paulo Sérgio Neves de Souza, Sidnei Corrêa Marques e Tiago Couto Berriel."
COPOM221-not20190320221.pdf,Ata COPOM,2019-03-20,0.65,SUCESSO,"r concluída a curto prazo. Ressalta, ainda, que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 23. Todos os membros do Comitê voltaram a enfatizar que a aprovação e implementação das reformas, notadamente as de natureza fiscal , e de ajustes na economia brasileira são fundamentais para a sustentabilidade d o ambiente com inflação baixa e estável, para o funcionamento pleno da política monetária e para a redução da taxa de juros estrutural da economia, com amplos benefícios para a sociedade. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. D) Decisão de política monetária 24. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela manutenção da taxa básica de juros em 6,50% a.a. O Comitê entende que essa decisão reflete seu cenário básico e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano -calendário de 2019 e, com peso gradualmente crescente, de 2020. 25. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 26. O Comitê enfatiza que a continuidade do processo de reformas e ajustes necessários na economia brasileira é essencial para a manutenção da inflação baixa no médio e longo prazos, para a queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. 27. Na avaliação do Copom, a evolução do cenário básico e do balanço de riscos prescreve manutenção da taxa Selic no nível vigente. O Comitê julga importante observar o comportamento da economia brasileira ao longo do tempo, com menor grau de incerteza e livre dos efeitos dos diversos choques a que foi submetida no ano passado. O Copom considera que esta avaliação demanda tempo e não deverá ser concluída a curto prazo. O Comitê ressalta que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 28. O Copom avalia que cautela, serenidade e perseverança nas decisões de política monetária, inclusive diante de cenários voláteis, têm sido úteis na perseguição de seu objetivo precípuo de manter a trajetória da inflação em direção às metas. 29. Votaram por essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (Presidente), Bruno Serra Fernandes, Carlos Viana de Carvalho, Carolina de Assis Barros, João Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso, Paulo Sérgio Neves de Souza e Tiago Couto Berriel."
COPOM222-not20190508222.pdf,Ata COPOM,2019-05-08,0.65,SUCESSO,"ssos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeçõ es e expectativas de inflação. 26. Todos os membros do Comitê voltaram a enfatizar que a aprovação e implementação das reformas, notadamente as de natureza fiscal , e de ajustes na economia brasileira são fundamentais para a sustentabilidade d o ambiente com inflação baixa e estável, para o funcionamento pleno da política monetária e para a redução da taxa de juros estrutural da economia, com amplos benefícios para a sociedade. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. D) Decisão de política monetária 27. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela manutenção da taxa básica de juros em 6,50% a.a. O Comitê entende que essa decisão reflete seu cenário básico e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano -calendário de 2019 e, em maior grau, de 2020. 28. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 29. O Comitê enfatiza que a continuidade do processo de reformas e ajustes necessários na economia brasileira é essencial para a manutenção da inflação baixa no médio e longo prazos, para a queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. 30. Na avaliação do Copom, a evolução do cenário básico e do balanço de riscos prescreve manutenção da taxa Selic no nível vigente. O Comitê julga importante observar o comportamento da economia brasileira ao longo do tempo, livre dos efeitos remanescentes dos diversos choques a que foi submetida no ano passado e, em especial, com redução do grau de incerteza a que a economia brasileira continua exposta. O Copom considera que esta avaliação demanda tempo e não deverá ser concluída a curto prazo. O Comitê re ssalta que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 31. O Copom avalia que cautela, serenidade e perseverança nas decisões de política monetária, inclusive diante de cenários voláteis, têm sido úteis na perseguição de seu objetivo precípuo de manter a trajetória da inflação em direção às metas. 32. Votaram por essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (Presidente), Bruno Serra Fernandes, Carlos Viana de Carvalho, Carolina de Assis Barros, João Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso, Paulo Sérgio Neves de Souza e Tiago Couto Berriel."
Copom223-not20190619223.pdf,Ata COPOM,2019-06-19,0.65,SUCESSO,"de incerteza a que continua exposta. 23. Os membros do Co pom reafirmaram sua preferência por explicitar condicionalidades sobre a evolução da política monetária, o que melhor transmite a racionalidade econômica que guia suas decisões. Isso contribui para aumentar a transparência e melhorar a comunicação do Comitê. 24. O Comitê reitera sua visão de que a continuidade do processo de reformas e ajustes necessários na economia brasileira é essencial para a queda da taxa de juros estrutural , para o funcionamento pleno da política monetária e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de re formas afeta as expectativas e projeções macroeconômicas correntes. Em particular, o Comitê julga que avanços concretos nessa agenda são fundamentais para consolidação do cenário benigno para a inflação prospectiva. O Copom ressalta que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. D) Decisão de política monetária 25. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela manutenção da taxa básica de juros em 6,50% a.a. O Comitê entende que essa decisão reflete seu cenário básico e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano -calendário de 2019 e, principalmente, de 2020. 26. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 27. O Comitê julga importante observar o comportamento da economia brasileira ao longo do tempo, com redução do grau de incerteza a que continua exposta. 28. O Comitê enfatiza que a continuidade do processo de reformas e ajustes necessários na economia brasileira é essencial para a queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. Em particular, o Comitê julga que avanços concretos nessa agenda são fundamentais para consolidação do cenário benigno para a inflação prospectiva. 29. Na avali ação do Copom, a evolução do cenário básico e do balanço de riscos prescreve manutenção da taxa Selic no nível vigente. O Comitê ressalta que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 30. Votaram por essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (Presidente), Bruno Serra Fernandes, Carlos Viana de Carvalho, Carolina de Assis Barros, João Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso, Paulo Sérgio Neves de Souza e Tiago Couto Berriel."
Copom224-not20190731224.pdf,Ata COPOM,2019-07-31,0.75,SUCESSO,"de riscos desde sua reunião em junho (223ª reunião). Todos concluíram pela redução da taxa Selic para 6,00% a.a. 25. O Copom debateu, então, a conveniência de oferecer alguma perspectiva sobre possíveis cenários para a política monetária. Decidiu comunicar sua avaliação de que a consolidação do cenário benigno para a inflação prospectiva deverá permitir ajuste adicional no grau de estímulo monetário. Tendo em vista sua preferência por explicitar condicionalidades sobre a evolução da política monetária, o que melhor transmite a racionalidade econômica que guia suas decisões, o Copom julgou ser fundamental enfatizar que a com unicação dessa avaliação não restringe sua próxima decisão e reiterar que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. D) Decisão de política monetária 26. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela redução da taxa básica de juros para 6,00% a.a. O Comitê entende que essa decisão reflet e seu cenário básico e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano-calendário de 2020. 27. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 28. O Copom reconhece que o processo de reformas e ajustes necessários na economia brasileira tem avançado, mas enfati za que a continuidade desse processo é essencial para a queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeco nômicas correntes. Em particular, o Comitê julga que avanços concretos nessa agenda são fundamentais para consolidação do cenário benigno para a inflação prospectiva. 29. Na avaliação do Copom, a evolução do cenário básico e, em especial, do balanço de riscos prescreve ajuste no grau de estímulo monetário, com redução da taxa Selic em 0,50 ponto percentual. O Comitê avalia que a consolidação do cenário benigno para a inflação prospectiva deverá permitir ajuste adicional no grau de estímulo. O Copom enfatiza qu e a comunicação dessa avaliação não restringe sua próxima decisão e reitera que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 30. Votaram po r essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (Presidente), Bruno Serra Fernandes, Carlos Viana de Carvalho, Carolina de Assis Barros, Fernanda Feitosa Nechio, João Banco Central do Brasil 224ª Reunião do Copom 6 Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso e Paulo Sérgio Neves de Souza."
Copom225-not20190918225.pdf,Ata COPOM,2019-09-18,0.75,SUCESSO,"etária adequada, tendo em vista a evolução do cenário básico e do balanço de riscos desde sua reunião em julho (224ª reunião). Todos concluíram pela redução da taxa Selic para 5,50% a.a. 23. O Copom debateu, então, a conveniência de oferecer alguma perspectiva sobre possíveis cenários para a política monetária. Decidiu comunicar sua avaliação de que a consolidação do cenário benigno para a inflação prospectiva deverá permitir ajuste adicional no grau de estímulo monetário. Tendo em vista sua preferência por explicitar condicionalidades sobre a evolução da política monetária, o que melhor transmite a racionalidade econômica que guia suas decisões, o Copom julgou ser fundamental reiterar que a comunicação dessa avaliação não restringe sua próxima decisão e enfatizar que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. D) Decisão de política monetária 24. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela redução da taxa básica de juros para 5,50% a.a. O Comitê entende que essa decisão reflete seu cenário básico e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano-calendário de 2020. 25. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 26. O Copom avalia que o processo de reformas e ajustes necessários na economia brasileira tem avançado, mas enfatiza que perseverar nesse processo é essencial para a queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. Em particular, o Comitê julga que avanços conc retos nessa agenda são fundamentais para consolidação do cenário benigno para a inflação prospectiva. 27. Na avaliação do Copom, a evolução do cenário básico e do balanço de riscos prescreve ajuste no grau de estímulo monetário, com redução da taxa Selic em 0,50 ponto percentual. O Comitê avalia que a consolidação do cenário benigno para a inflação prospectiva deverá permitir ajuste adicional no grau de estímulo. O Copom reitera que a comunicação dessa avaliação não restringe sua próxima decisão e enfatiza que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 28. Votaram por essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (Presidente), Bruno Serra Fernandes, Carlos Viana de Carvalho, Carolina de Assis Barros, Fernanda Feitosa Nechio, João Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso e Paulo Sérgio Neves de Souza."
Copom226-not20191030226.pdf,Ata COPOM,2019-10-30,0.65,SUCESSO,"a política monetária. Decidiu comunicar sua avaliação de que a consolidação do cenário benigno para a inflação prospectiva deverá permitir um ajuste adicional, de igual magnitude, no grau de estímulo monetário. Em seguida, o Comitê discutiu os benefícios de oferecer alguma sinalização para além da próxima reunião. Os membros do Copom decidiram reforçar que o atual estágio do ciclo econômico recomenda cautela em eventuais novos ajustes no grau de estímulo. 23. Tendo em vista sua preferência por explicitar condicionalidades sobre a evolução da política monetária, o que melhor transmite a racionalidade econômica que guia suas decisões, o Copom julgou ser fundamental reiterar que a comunicação dessa avaliação não r estringe sua s próximas decisões e enfatizar que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. D) Decisão de política monetária 24. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela redução da taxa básica de juros para 5,00% a.a. O Comitê entende que essa decisão reflete seu cenário básico e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano-calendário de 2020 e, em menor grau, o de 2021. 25. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 26. O Copom avalia que o processo de reformas e ajustes necessários na economia brasileira tem avançado, mas enfatiza que perseverar nesse processo é essencial para permitir a consolidação da queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. 27. Na avaliação do Copom, a evolução do cenário básico e do balanço de riscos prescreve ajuste no grau de estímulo monetário, com redução da taxa Selic em 0,50 ponto percentu al. O Comitê avalia que a consolidação do cenário benigno para a inflação prospectiva deverá permitir um ajuste adicional , de igual magnitude. O Copom entende que o atual estágio do ciclo econômico recomenda cautela em eventuais novos ajustes no grau de es tímulo. O Copom reitera que a comunicação dessa avaliação não restringe sua s próximas decisões e enfatiza que os próximos passos da política monetária continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 28. Votaram por essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (Presidente), Bruno Serra Fernandes, Carolina de Assis Barros, Fernanda Feitosa Nechio, João Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso e Paulo Sérgio Neves de Souza."
Copom227-not20191211227.pdf,Ata COPOM,2019-12-11,0.75,SUCESSO,"nanceiras globais. 16. No horizonte relevante para a política monetária, o cenário com taxa Selic extraída da pesquisa Focus e taxa de câmbio constante produz inflação ligeiramente abaixo da meta para 2020 e ao redor da meta para 2021. As projeções de curto prazo foram particularmente afetadas pelos efeitos do choque de preço de proteínas, que ocorreu de forma mais intensa e prematura do que esperada anteriormente. As projeções consideram um efeito direto mais concentrado no último bimes tre deste ano, constituindo-se o principal fator de elevação das projeções para 2019. No âmbito dos administrados, menciona-se a presença de condições benignas para a ocorrência de reajustes menores nas tarifas de energia elétrica, que já vêm se materializando nos últimos meses e devem prosseguir nos trimestres seguintes. 17. O Copom avalia que a conjuntura econômica com expectativas de inflação ancoradas, medidas de inflação subjacente em níveis confortáveis, cenários com projeções para a inflação abaixo ou ao redor da meta para o horizonte relevante de política monetária e elevado grau de ociosidade na economia prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. Os membros do Copom avaliam que as atuais taxas de juros reais ex-ante têm efeito estimulativo sobre a economia. D) Decisão de política monetária 18. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela redução da taxa básica de juros em 0,5 ponto percentual, para 4,50% a.a. O Comitê entende que essa decisão reflete seu cenário básico e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano-calendário de 2020 e, em grau menor, o de 2021. 19. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 20. O Copom avalia que o processo de reformas e ajustes necessários na economia brasileira tem avançado, mas enfatiza que perseverar nesse processo é essencial para permitir a consolidação da queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. 21. O Copom entende que o atual estágio do ciclo econômico recomenda cautela na condução da política monetária. O Comitê enfatiza que seus próximos passos continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação. 22. Votaram por essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (Presidente), Bruno Serra Fernandes, Carolina de Assis Barros, F abio Kanczuk, Fernanda Feitosa Nechio, João Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso e Paulo Sérgio Neves de Souza."
Copom228-not20200205228.pdf,Ata COPOM,2020-02-05,0.75,SUCESSO,"ral . Os membros do Copom avaliam que as atuais taxas de juros reais ex-ante têm efeito estimulativo sobre a economia. 18. Contudo, em vista das múltiplas incertezas no que tange ao atual grau de ociosidade , à velocidade de recuperação da economia e ao aumento da potência da política monetária , que atua com defasagens na economia, o Copom considera que é importante observar os efeitos do ciclo de estímulo monetário iniciado em 2019 . O Co mitê avalia que uma melhor compreensão desses efeitos é essencial para definir os próximos passos da política monetária. 19. O Comitê entende que, num contexto de expectativas de inflação ancoradas , o choque nos preços de proteínas antecipou inflação do ano - calendário 2020 para o ano-calendário 2019. Tendo em vista que há incertezas sobre a defasagem e a magnitude dos efeitos do estímulo já concedido, o Copom julga que é fundamental observar a evolução da atividade econômica e das projeções e expectativas de inflação ao longo dos próximos meses, com peso crescente para o ano-calendário de 2021. D) Decisão de política monetária 20. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, pela redução da taxa básica de juros em 0,25 ponto percentual, para 4,25% a.a. O Comitê entende que essa decisão reflete seu cenário básico e balanço de riscos para a inflação prospectiva e é compatível com a convergência da inflação para a meta no horizonte relevante para a condução da política monetária, que inclui o ano - calendário de 2020 e, com peso crescente, o de 2021. 21. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 22. O Copom avalia que o processo de reformas e ajustes necessários na economia brasileira tem avançado, mas enfatiza que perseverar nesse processo é essencial para permitir a consolidação da queda da taxa de juros estrutural e para a recuperação sustentável da economia. O Comitê ressalta ainda que a percepção de continuidade da agenda de reformas afeta as expectativas e projeções macroeconômicas correntes. 23. O Copom entende que o atual estágio do ciclo econômico recomenda cautela na condução da política monetária. Considerando os efeitos defasados do ciclo de afrouxamento iniciado em julho de 2019, o Comitê vê como adequad a a interrupção do processo de flexibilização monetária. O Comitê enfatiza que seus próximos passos continuarão dependendo da evolução da atividade econômica, do balanço de riscos e das projeções e expectativas de inflação , com peso crescente para o ano-calendário de 2021. 24. Votaram por essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (Presidente), Banco Central do Brasil 228ª Reunião do Copom 5 Bruno Serra Fernandes, Carolina de Assis Barros, F abio Kanczuk, Fernanda Feitosa Nechio, João Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso e Paulo Sérgio Neves de Souza."
Copom229-not20200318229.pdf,Ata COPOM,2020-03-18,-0.35,SUCESSO," o momento, o Comitê vê como adequada a manutenção da taxa Selic em seu novo patamar. No entanto, o Comitê reconhece que novas informações sobre a conjuntura econômica serão essenciais para definir seus próximos passos. 18. Os membro s do Comitê também discutiram a efetividade d a política monetária como política de estímulo à demanda. Concluíram que, embora neste momento seus efeitos s ejam limitados, os mesmos serão relevantes para acelerar a recuperação econômica, quando as restrições impostas pela pandemia começarem a arrefecer. 19. Finalmente, o Copom avaliou o balanço de riscos em torno do cenário básico. Concluiu que , neste momento, o balanço de riscos tem variância maior do que a usual. Na visão do Comitê, a maior variância no balanço de riscos não necessariamente implica gradualismo na condução da política monetária, mas que a magnitude das próximas de cisões de política monetária esteja sujeita a maior incerteza. D) Decisão de política monetária 20. Considerando o cenário básico, o balanço de riscos e o amplo conjunto de informações disponíveis, o Copom decidiu, por unanimidade, reduzir a taxa básica de juros em 0,5 ponto percentual, para 3,75% a.a. O Comitê entende que essa decisão reflete seu cenário básico e um balanço de riscos de variância maior do que a usual para a inflação prospectiva e é compatív el com a convergência da inflação para a meta no horizonte relevante, que inclui o ano -calendário 2020 e, principalmente, de 2021. 21. O Copom reitera que a conjuntura econômica prescreve política monetária estimulativa, ou seja, com taxas de juros abaixo da taxa estrutural. 22. O Copom enfatiza que perseverar no processo de reformas e ajustes necessários na economia brasileira é essencial para permitir a recuperação sustentável da economia. O Comitê ressalta, ainda, que questionamentos sobre a continuidade das r eformas e alterações de caráter permanente no processo de ajuste das contas públicas têm o potencial de elevar a taxa de juros estrutural da economia. Nessa situação, relaxamentos monetários adicionais podem tornar -se contraproducentes se resultarem em ape rto nas condições financeiras. 23. O Copom entende que a atual conjuntura prescreve cautela na condução da política monetária, e neste momento vê como adequada a manutenção da taxa Selic em seu novo patamar. No entanto, o Comitê reconhece que se elevou a vari ância do seu balanço de riscos e novas informações sobre a conjuntura econômica serão essenciais para definir seus próximos passos. 24. O Banco Central do Brasil ressalta que continuará fazendo uso de todo o seu arsenal de medidas de políticas monetária, camb ial e de estabilidade financeira no enfrentamento da crise atual. 25. Votaram por essa decisão os seguintes membros do Comitê: Roberto Oliveira Campos Neto (presidente), Bruno Serra Fernandes, Carolina de Assis Barros, Fabio Kanczuk, Fernanda Feitosa Nechio, João Manoel Pinho de Mello, Maurício Costa de Moura, Otávio Ribeiro Damaso e Paulo Sérgio Neves de Souza."
