Rank,Família,Tipo Relatório,Modelo Sentimento,Série Sentimento,Configuração,Janela Sentimento,Com bias,Bias estimado treino,MAE,RMSE,R2,Bias (obs - prev),Slope pred~obs,Intercept,N,id_predicao
3,ARIMAX,Atas do Copom,BERT Multilingual,copom_score_bert,"ARIMA(2, 1, 4)","t, t-1, t-2",Não,,0.06783771157423409,0.0908125368637875,0.9240167170285255,0.015339814363235246,0.9396847174835755,0.19146621056495583,24,ARIMAX|copom_score_bert|sem_bias
3,ARIMAX,Atas do Copom,BERT Multilingual,copom_score_bert,"ARIMA(2, 1, 4)","t, t-1, t-2",Sim,0.020629049519959437,0.06965608846600106,0.08966372151255697,0.9259269957890088,-0.005289235156724008,0.9396847174835755,0.2120952600849142,24,ARIMAX|copom_score_bert|com_bias
1,ARIMAX,Atas do Copom,Mistral,copom_score_mistral,"ARIMA(2, 1, 4)","t, t-1, t-2",Não,,0.06395310108427367,0.08721033381959242,0.9299251243402697,0.018834167212024227,0.9455322916171521,0.16792198790566593,24,ARIMAX|copom_score_mistral|sem_bias
1,ARIMAX,Atas do Copom,Mistral,copom_score_mistral,"ARIMA(2, 1, 4)","t, t-1, t-2",Sim,0.021556422417663684,0.06520014344363038,0.08519581646864412,0.9331251260094483,-0.002722255205639623,0.945532291617152,0.18947841032333024,24,ARIMAX|copom_score_mistral|com_bias
2,ARIMAX,Atas do Copom,TextBlob,copom_score_textblob,"ARIMA(2, 1, 4)","t, t-1, t-2",Não,,0.0705464193818554,0.09027042279160288,0.9249211881458642,0.024355403314440638,0.9491290830348894,0.15006825322968265,24,ARIMAX|copom_score_textblob|sem_bias
2,ARIMAX,Atas do Copom,TextBlob,copom_score_textblob,"ARIMA(2, 1, 4)","t, t-1, t-2",Sim,0.01289954428019369,0.06998395611671816,0.08767439915150947,0.9291773725492701,0.01145585903424686,0.9491290830348893,0.16296779750987733,24,ARIMAX|copom_score_textblob|com_bias
3,SVR,Atas do Copom,FinBERT-PT-BR,copom_score_finbert,k=1,t,Não,,0.11723061160189364,0.16642523989468272,0.7448093128232047,0.040469764030068835,0.7329327640156263,0.8752370213513525,24,SVR|copom_score_finbert|sem_bias
3,SVR,Atas do Copom,FinBERT-PT-BR,copom_score_finbert,k=1,t,Sim,0.020070298393421327,0.11703063708138313,0.16271354237313507,0.7560651570212491,0.020399465636647702,0.7329327640156265,0.8953073197447732,24,SVR|copom_score_finbert|com_bias
1,SVR,Atas do Copom,Média dos Modelos,copom_score_media,k=1,t,Não,,0.10213872941197728,0.1304751853013808,0.8431508091093822,0.03479118422567976,0.819569006111175,0.5838615860706291,24,SVR|copom_score_media|sem_bias
1,SVR,Atas do Copom,Média dos Modelos,copom_score_media,k=1,t,Sim,0.008470140992309173,0.10143288432928484,0.12847624214810077,0.8479200053300555,0.026321043233370405,0.819569006111175,0.5923317270629385,24,SVR|copom_score_media|com_bias
2,SVR,Atas do Copom,Mistral,copom_score_mistral,k=1,t,Não,,0.12127096388601986,0.15428067514362553,0.7806945121492785,0.018061861171364935,0.8458232576276253,0.5105716442379147,24,SVR|copom_score_mistral|sem_bias
2,SVR,Atas do Copom,Mistral,copom_score_mistral,k=1,t,Sim,0.012297873307659617,0.12199424519993003,0.15332814304586156,0.7833941458340268,0.005763987863705207,0.845823257627625,0.5228695175455766,24,SVR|copom_score_mistral|com_bias
3,XGBoost,Atas do Copom,Média dos Modelos,copom_score_media,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Não,,0.10248090187708536,0.1317085521073335,0.8401714390847714,0.04780805269877112,0.7545550290144115,0.7937613915680659,24,XGBoost|copom_score_media|sem_bias
3,XGBoost,Atas do Copom,Média dos Modelos,copom_score_media,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Sim,0.07945719894609952,0.10706068350557706,0.12674068507605007,0.852001082558056,-0.03164914624732856,0.7545550290144115,0.8732185905141652,24,XGBoost|copom_score_media|com_bias
1,XGBoost,Atas do Copom,Mistral,copom_score_mistral,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Não,,0.09712607343991593,0.1257885061476279,0.854216505211909,0.0407834168275197,0.8028587943445677,0.6351644920635438,24,XGBoost|copom_score_mistral|sem_bias
1,XGBoost,Atas do Copom,Mistral,copom_score_mistral,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Sim,0.07128977524606805,0.10413961943827173,0.12284176445609017,0.8609667964153759,-0.03050635841854828,0.802858794344568,0.7064542673096113,24,XGBoost|copom_score_mistral|com_bias
2,XGBoost,Atas do Copom,NLTK/VADER,copom_score_nltk,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Não,,0.11681458115577692,0.14369795852568448,0.8097486992780678,0.07328636606534318,0.7754558038473347,0.6966195464931082,24,XGBoost|copom_score_nltk|sem_bias
2,XGBoost,Atas do Copom,NLTK/VADER,copom_score_nltk,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Sim,0.08094313019200375,0.104796985178663,0.1238419875093951,0.8586934592952019,-0.007656764126660627,0.7754558038473346,0.7775626766851125,24,XGBoost|copom_score_nltk|com_bias
1,ARIMAX,Relatórios de Estatísticas,BERT Multilingual,estatisticas_score_bert,"ARIMA(2, 1, 4)","t, t-1, t-2",Não,,0.06754496884196544,0.08814580089791517,0.9284137365475384,0.020241138939703657,0.9384332322675529,0.1908559159229246,24,ARIMAX|estatisticas_score_bert|sem_bias
1,ARIMAX,Relatórios de Estatísticas,BERT Multilingual,estatisticas_score_bert,"ARIMA(2, 1, 4)","t, t-1, t-2",Sim,0.015158798554293362,0.06759355646912024,0.08594072779626484,0.9319505698824254,0.005082340385410296,0.9384332322675528,0.20601471447721798,24,ARIMAX|estatisticas_score_bert|com_bias
3,ARIMAX,Relatórios de Estatísticas,FinBERT-PT-BR,estatisticas_score_finbert,"ARIMA(2, 1, 4)","t, t-1, t-2",Não,,0.08234166909088979,0.10987284716741845,0.8887737755554478,0.018882098271198116,0.9680484660470413,0.09067172377000965,24,ARIMAX|estatisticas_score_finbert|sem_bias
3,ARIMAX,Relatórios de Estatísticas,FinBERT-PT-BR,estatisticas_score_finbert,"ARIMA(2, 1, 4)","t, t-1, t-2",Sim,0.02232339654125297,0.08204752183939486,0.108292896550675,0.8919496001650586,-0.0034412982700547565,0.9680484660470414,0.11299512031126202,24,ARIMAX|estatisticas_score_finbert|com_bias
2,ARIMAX,Relatórios de Estatísticas,TextBlob,estatisticas_score_textblob,"ARIMA(2, 1, 4)","t, t-1, t-2",Não,,0.08569681813357914,0.1067249527367145,0.8950558147005092,0.014069415639749172,0.9322570394529252,0.21820426033603324,24,ARIMAX|estatisticas_score_textblob|sem_bias
2,ARIMAX,Relatórios de Estatísticas,TextBlob,estatisticas_score_textblob,"ARIMA(2, 1, 4)","t, t-1, t-2",Sim,0.02552623922155111,0.08190984293770354,0.10641205705555393,0.8956702623332068,-0.011456823581802,0.9322570394529252,0.2437304995575853,24,ARIMAX|estatisticas_score_textblob|com_bias
